游戏;玩偶;玩偶;手指伸进去表演的木偶，套在手指上表演的手套木偶;	轻工业、手工业;工艺美术制品工业;民间工艺美术制品;木偶制作;	建筑科学;建筑设计;工业建筑;构筑物;塔形、柱形等构筑物;烟囱;
信息存储;静态存储器;可擦除可编程序只读存储器;	自动化技术;计算技术、计算机技术;电子数字计算机;外部设备;外存储器;	纺织工业、染整工业;针织;针织用机具;手套机;
乐器;声学;手风琴或六角手风琴;手风琴、六角手风琴或类似乐器;	音乐;器乐理论与演奏法;键盘、簧乐理论和演奏法;手风琴;	化学;有机化学;脂肪族含氮化合物;氰酸及异氰酸的有机衍生物;
计算;推算;计数;一般的图像数据处理或产生;图像编码;	无线电电子学、电信技术;通信;图像通信、多媒体通信;图像编码;	工业技术;电工技术;独立电源技术（直接发电）;蓄电池;碱性蓄电池;
计算;计数;数据处理系统或方法;行政;管理;办公自动化，例如电子邮件或群件的计算机辅助管理;	自动化技术、计算机技术;计算技术、计算机技术;计算机软件;程序包（应用软件）;办公自动化系统;	交通运输;公路运输;桥涵工程;桥梁构造;墩台结构（下部结构）;桥台;
信号装置;信号装置或呼叫装置;指令发信装置;报警装置;把报警情况从中心台发信号给多个分台的报警系统;	自动化技术、计算机技术;自动化技术及设备;自动化系统;监视、报警、故障诊断系统;	建筑科学;市政工程;给水工程（上水道工程）;工业企业给水;给水系统;
测量;测量距离、水准或者方位;高程测量;通过使用气压计量装置;	测绘学;普通测量学、地形测量学;高程测量;气压高程测量;	金属腐蚀与保护、金属表面处理;金属表面防护技术;金属覆层保护;喷镀法;
物理;测量;红外光、可见光、紫外光的光谱成分;光度测定法;	物理学;光学;光辐射、光度学、色度学;光度学（测光学）;	工业技术;机械、仪表工业;机械零件及传动装置;转动机件;联轴器、离合器;
测量;温度测量;热量测量;温度计的测试或校准;	机械、仪表工业;仪器、仪表;热工量的测量仪表;温度测量仪表;	无线电电子学、电信技术;电视;电视：按体制分;彩色电视;
核物理;核工程;核反应堆;反应堆类型;热反应堆;	工业技术;原子能技术;受控热核反应;热核反应堆;	一般工业技术;工业通用技术与设备;爆破技术;
物理;测量;组中所列的及以采用光学测量方法为其特征的仪器;干涉仪;	天文学;天文观测设备与观测资料;天文仪器;天体物理仪器;干涉仪;	电子元件、组件;微波过渡元件;换向开关;同轴换向开关;
计算;计数;一切计算均用机械方式实现的数字计算机;计算机构及其执行装置;二进制的运算;	计算机技术;计算技术、计算机技术;电子模拟计算机;运算放大器和控制器;运算器;	冶金工业;冶炼原料及矿石预处理;矿石预处理、烧结;
物理;机器或结构部件的静或动平衡的测试;流体动力学试验;	数理科学和化学;力学;流体力学;普通流体力学;流体动力学;	化学;物理化学（理论化学）、化学物理学;表面现象的物理化学;吸附;吸附理论;离子交换吸附作用;离子交换剂;
摄影术;摄影用的装置或设备;立体摄影术;	一般工业技术;摄影技术;各种摄影技术;立体摄影;	机械、仪表工业;机械零件及传动装置;机械传动机构;啮合传动;凸轮;
摄影术;摄影、放映或观看用的装置或设备;立体摄影术;	摄影技术;摄影机具与设备;摄影设备;摄影机;立体摄影机;	农业机械及农具;田间管理机械;肥料机械;肥料施肥机具;
物理;测量;辐射的测量;辐射强度测量;	物理学;等离子体物理学;辐射与测量;	水利工程;水工材料;水泥、掺加料和外加剂;水泥;灌浆水泥;
物理;测量;核辐射或X射线辐射的测量;辐射的测量;剂量计;化学剂量计;	原子能技术;辐射探测技术;辐射探测技术;辐射剂量计;化学剂量计和生物剂量计;	动物医学;动物医学（兽医学）;家畜卫生及防疫;兽医卫生保健组织;兽医器材及药品管理;
物理;辐射的测量;测量截面，例如，测量粒子的吸收截面;	物理学;原子核物理学;中子物理;中子截面;吸收截面;	公路运输;汽车工程;汽车结构部件;电气设备及附件;点火系统;火花塞;
物理;光学;光学元件、系统或仪器;聚光镜;	太阳能技术;太阳能转换装置和设备;聚光器;	各种桥梁;桥梁：按结构分;拱式桥;桁架拱桥;
物理;借助于测定材料的化学或物理性质来测试或分析材料;利用超声波、声波来分析材料;	数理科学和化学;化学;分析化学;仪器分析法（物理及物理化学分析法）;超声波分析法;	农业科学;农学（农艺学）;农产品收获;收获;
乐器;电声乐器;其中由机电装置产生音调的乐器;应用机电驱动的带有拾音器的振动器的;	工业技术;轻工业、手工业;其他轻工业、手工业;乐器制造工业;电乐器;电振荡乐器;	食品工业;乳品加工工业;乳品加工工艺;乳制品加工;
声学;语音分析或合成;语音或声音处理;语音合成;	电声技术和语音信号处理;语音信号处理;语音合成;	交通运输;铁路运输;机车工程;机车构造;制动装置;电控制动及装置;
无线电定向;无线电导航;激光雷达系统;专门适用于特定应用的激光雷达系统;	无线电电子学、电信技术;雷达;雷达：按体制分;光学定位雷达、激光雷达;	制鞋工业;制鞋工业;结构、部件及配件;鞋跟;
教育;教育或演示用具;手写或绘画教具;	教育;教育;学前教育、幼儿教育;教具;	建筑科学;建筑设计;房屋细部构造设计;屋顶（屋面）、屋檐;
仪器的零部件;仪器的结构零部件;指示元件;	机械、仪表工业;仪器、仪表;显示仪表;直接指示仪;	大气科学（气象学）;大气探测仪器及设备;湿度测定仪器;湿度计;
测量;称量;带有自动供料或卸料以称量成批材料的称量设备;	炼钢机械与生产自动化;炼钢生产自动化;炉料和钢水自动称量;	轻工业、手工业;纺织工业、染整工业;化学纤维纺织;机械与设备;纺纱设备;
测量;核辐射或X射线辐射的测量;中子辐射的测量;用闪烁探测器;	粒子探测技术、辐射探测技术;中子和其他辐射探测器;中子探测器;	工业技术;轻工业、手工业;印刷工业;特种印刷;特种印刷：按油墨分;
物理;测量;核辐射或X射线辐射的测量;中子辐射的测量;	数理科学和化学;物理学;等离子体物理学;辐射与测量;	金属学与金属工艺;金属切削加工及机床;磨削加工与磨床;磨削加工工艺;抛光;
物理;测量;气象学;气象学;用于指示大气湿度的装置;	大气科学（气象学）;大气探测仪器及设备;湿度测定仪器;湿度计;	铁路运输;铁路运输管理工程;调车工作;调车场及调车设备;
物理;测量;气象学;气象学;雨量计或沉积物计量器;	大气科学（气象学）;云和降水测定仪器;雨量器、雨量计、量雪尺;	航空、航天;航空;飞机构造与设计;机身、座舱;座舱盖、整流片、整流罩;
物理;测量;测试;气象学;气象学;	地球科学;大气科学（气象学）;应用气象学;	金属压力加工;锻造、锻压;锻造用机械与设备;自由锻水压机;
信号装置;信号装置或呼叫装置;指令发信装置;报警装置;报警器;	电气化、电能应用;家用电器及其他电器设备;其他电器;家用报警器;	化学工业;试剂与纯化学品的生产;表面活性剂;表面活性剂的应用;乳化剂、分散剂、增溶剂;
摄影术;照相用的感光材料;多色工艺的感光材料;	工业技术;一般工业技术;摄影技术;感光材料;	工业技术;轻工业、手工业;纺织工业、染整工业;染整工业;印花;印花方法;
核辐射或X射线辐射的测量;粒子的运动或轨迹的记录;粒子轨迹的处理或分析;闪烁室;	原子能技术;粒子探测技术、辐射探测技术与核仪器仪表;粒子径迹探测器;闪烁室;	金属学与金属工艺;金属切削加工及机床;磨削加工与磨床;磨床设计、制造与维修;结构;机械结构;
核辐射或X射线辐射的测量;粒子的运动或轨迹的记录;粒子轨迹的处理或分析;气泡室;	原子能技术;粒子探测技术、辐射探测技术与核仪器仪表;粒子径迹探测器;气泡室;	化学工业;胶粘剂工业;动物胶;明胶;
物理;测量;导航;导航;导航仪器;专用于宇宙航行的导航;	无线电电子学;无线电导航;导航系统;宇宙飞行器导航系统;	建筑科学;建筑施工;各项工程与工种;模板工程;各种模板;
物理;测量;导航;导航;导航仪器;执行导航计算的仪器;	无线电电子学;无线电导航;导航设备、导航台;导航计算机;	化学;无机化学;化学元素与无机化合物;氧化物、过氧化物;
测量;长度的计量;计量设备;用于计量长度;	一般工业技术;计量学;几何量计量;长度计量;	汽车工程;汽车发动机;往复式发动机;各种类型往复式发动机;气体燃料发动机;
测量;线速度或角速度、加速度、减速度的测量;测量速度的平均值;	工业技术;一般工业技术;计量学;力学计量;速度与加速度计量;	机械、仪表工业;机械零件及传动装置;机械传动机构;摩擦传动;摩擦分合装置;
基于记录载体的信息存储;按所用记录载体的形状区分的;记录载体;	化学工业;磁性记录材料工业;原材料及辅助物料;载体;	冶金工业;冶炼原料及矿石预处理;矿石;
仪器的结构零部件;条或板的合成物，双金属片;	电工技术;电器;一般性问题;结构;双金属片;	工业技术;建筑科学;房屋建筑设备;机电设备;电梯工程;
物理;测量;机械振动的测量;检测器测量振动;	数理科学和化学;力学;振动理论;振动测量技术;	农业科学;植物保护;农药防治（化学防治）;各种农药;除草剂（杀草剂）;
物理;测量;地球物理;物质或物体的探测;地震学;	地球物理学;固体地球物理学;地震学;理论与方法;物理地震学;	机械、仪表工业;机械零件及传动装置;转动机件;轴承;
物理;测量;地球物理;物质或物体的探测;地震学;地震的勘探或探测;地震数据的处理;	地球科学;地球物理学;固体地球物理学;地震学;测震学;地震观测结果的解释与处理;	轻工业、手工业;制鞋工业;制鞋工业;制鞋机具与设备;其他;
测量;长度的计量;计量设备;用于计量长度;	仪表工业;仪器、仪表;计量仪器;长度计量仪器;	农业科学;农作物;饮料作物;咖啡;
教育或演示用具;模型;天象仪;地图;天象仪;	天文学;天文观测设备与观测资料;天文仪器;天象仪;	自动化技术及设备;机器人技术;机械手;专用机械手;
摄影术;摄影、放映或观看用的装置或设备;印片设备;	摄影技术;摄影机具与设备;洗印设备;洗印设备;印片机;	无线电电子学、电信技术;电视;电视设备;电视节目制作设备;摄像机;
核物理;核工程;核反应堆;慢化剂或堆芯结构;用作慢化剂材料的选择;	原子能技术;核反应堆工程;反应堆材料及其性能;慢化剂和反射层材料;	轻工业、手工业;造纸工业;制浆工艺;制浆法;化学制浆;
物理;控制;调节;调节电变量或磁变量的系统;调节电压或电流;	电工技术;输配电工程、电力网及电力系统;负荷分析;电压调整;	测绘学;普通测量学、地形测量学;高程测量;气压高程测量;
乐器;声学;带有一个或更多键盘的弦乐器;类似的弦乐器;	其他轻工业、手工业;乐器制造工业;西乐器;弓弦乐器;	测绘学;摄影测量学与测绘遥感;非地形摄影测量;近影摄影测量;
信号装置;信号装置或呼叫装置;指令发信装置;报警装置;夜盗、偷窃或入侵者报警器;	电工技术;电气化、电能应用;家用电器及其他电器设备;其他电器;家用报警器;	工业技术;化学工业;炼焦化学工业;煤的高温干馏;炼焦;炼焦过程;
测试;机器或结构部件的静或动平衡的测试;机械部件的测试;齿轮;传动机构;齿轮;	机械、仪表工业;机械零件及传动装置;机械传动机构;啮合传动;齿轮及齿轮传动;	化学工业;油脂和蜡的化学加工工业;油脂工业产品及副产品;副产品加工及利用;蜡;
产生用作定时标准的预选的时间间隔的仪器;应用带机电谐振器的振荡器;应用压电谐振器;	无线电电子学、电信技术;基本电子电路;振荡技术、振荡器;振荡技术;谐振;	农业工程;农业机械及农具;收获机械;分段收获机;割捆机;
测量;摄影测量学或视频测量学;立体摄影测量学;摄影测量术;	测绘学;摄影测量学与测绘遥感;非地形摄影测量;近影摄影测量;	化学工业;染料及中间体工业;各种结构的合成染料;靛系染料;
测量;摄影测量学或视频测量学;立体摄影测量学;摄影测量术;	建筑科学;建筑勘测;建筑工程测量及制图;摄影测量;	机械、仪表工业;机械零件及传动装置;机械传动机构;啮合传动;齿轮及齿轮传动;
教育或演示用具;模型;天象仪;地图;天象仪;	机械、仪表工业;仪器、仪表;天文仪器;天象仪;	金属学与金属工艺;焊接、金属切割;焊接工艺;金属材料的焊接;铝;
教育或演示用具;模型;地球仪;地图;地球仪;地球仪;	地球科学;测绘学;地图制图学（地图学）;地图模型、地球仪;	建筑科学;建筑设计;房屋细部构造设计;楼梯、坡道、电梯;
驱动机构;用气体驱动的;机械控制子钟的气体驱动装置;	往复式发动机;部件、零件;配气机构;气门及驱动机构;	金属压力加工;锻造、锻压;锻造用机械与设备;自由锻水压机;
乐器;声学;带有一个或更多键盘的弦乐器;类似的弦乐器;	其他轻工业、手工业;乐器制造工业;中国民族乐器;弓弦乐器;	自动化技术;计算技术、计算机技术;程序设计、软件工程;软件工程;
机器或结构部件的静或动平衡的测试;机械部件的测试;轴承;	机械、仪表工业;机械零件及传动装置;转动机件;轴承;	航空发动机制造;装配;装配工夹具;
摄影术;摄影、放映或观看用的装置或设备;影的特殊操作;所用的设备;	一般工业技术;摄影技术;摄影机具与设备;摄影设备;特技摄影装置;	武器工业;弹药、引信、火工品;弹药;炸弹;练习炸弹、试验炸弹;
摄影术;摄影、放映或观看用的装置或设备;照相机零部件或照相机的机身;机身;	一般工业技术;摄影技术;摄影机具与设备;照相设备与复制设备;照相机;	水利工程;水利枢纽、水工建筑物;取水、引水工程;泵站;
乐器;声学;弦乐器;管乐器;弦乐器的一般设计;	其他轻工业、手工业;乐器制造工业;西乐器;弓弦乐器;	能源与动力工程;蒸汽动力工程;蒸汽锅炉;锅炉构造;水处理及给水装置;
调节;非电变量的控制或调节系统;机械振荡的控制;	基本电子电路;振荡技术、振荡器;振荡器;机械振荡器;	铁路运输;机车工程;电力机车;牵引电动机;直流牵引电动机;
物理;测量;测试;测量电变量;测量磁变量;电功率、功率因数的测量装置;	电气测量技术及仪器;电数量的测量及仪表;功率测量及仪器;功率因数测量、功率因数表;	机械、仪表工业;机械零件及传动装置;机械传动机构;啮合传动;凸轮;
信号装置;交通控制系统;飞行器的交通控制系统;防撞系统;	航空设备、飞行控制与导航;防护设备及其技术;防护设备;防撞击设备;	农业科学;畜牧;普通畜牧学;畜牧业的机具及设备;
物理;光学;光学元件、系统或仪器;显微镜;	机械、仪表工业;仪器、仪表;光学仪器;显微镜;	烟草工业;烟草加工工艺及制品;雪茄烟;
地球物理;重力测量;物质或物体的探测;测量引力场或波;重力勘探或探测;用悬摆;	地球科学;地质、矿产普查与勘探;地球物理勘探;重力勘探;方法;振摆测量;	矿业工程;矿山设计与建设;凿岩爆破工程;掏槽方法;
计算;计数;数字计算机;辅助功能装置;操作次数计数装置;	机械、仪表工业;坐标器、计算机具、计数器;计数器;	农业工程;农业机械及农具;种植机械;播种机;特殊结构播种机;
乐器;打击乐器;其他类目中不包括的乐器;打击乐器;	其他轻工业、手工业;乐器制造工业;西乐器;打击乐器;	矿业工程;矿山机械;矿山固定机械设备;矿山排水设备;
乐器;打击乐器;其他类目中不包括的乐器;打击乐器;	其他轻工业、手工业;乐器制造工业;中国民族乐器;打击乐器;	无线电电子学、电信技术;基本电子电路;放大技术、放大器;放大器;
乐器;声学;打击乐器;零部件或附件;鼓;手鼓;	音乐;器乐理论与演奏法;打击乐理论和演奏法;小鼓、大鼓;	音乐;器乐理论与演奏法;键盘、簧乐理论和演奏法;风琴、管风琴;
物理;光学;眼镜;应用跨梁或眉杆的透镜组件的眼镜;	其他轻工业、手工业;眼镜及其制造;普通眼镜;	粒子探测技术、辐射探测技术;中子和其他辐射探测器;中子探测器;
物理;测量;红外光、可见光、紫外光的光谱成分;分光光度测定法;	天文学;太阳系;太阳物理学;太阳光谱;分光光度测量;	工业技术;机械、仪表工业;机械零件及传动装置;转动机件;联轴器、离合器;
信号装置;测量值、控制信号或类似信号的传输系统;相对于预定参照系的目标位置传送系统;	无线电电子学、电信技术;电视信号的传输;电视信号的光波传送系统、光放大器传输系统;	化学;有机化学;杂环化合物;含单异原子的六节杂环;
信号装置;信号装置或呼叫装置;指令发信装置;报警装置;信号装置;	公路运输;汽车工程;电气设备及附件;照明与信号系统;停刹车信号装置;	化学;无机化学;非金属元素及其化合物;零族元素、惰性气体;
物理;测量;光的偏振的测量;测量光的偏振;	物理学;光学;物理光学（波动光学）;偏振与色散;	一般工业技术;摄影技术;摄影机具与设备;摄影设备;特技摄影装置;
核物理;核工程;聚变反应堆;热核聚变反应堆;	原子能技术;各种核反应堆;裂变、聚变混合反应堆;	造纸工业;机械与设备;辅助设备器材;刀片;
测量;流量、质量流量的测量;测量相对于另一变量的流量;	能源与动力工程;热工量测;量测技术及仪表;流量量测;	服装工业、制鞋工业;制鞋工业;结构、部件及配件;鞋底、内底;
物理;摄影术;摄影用的装置或设备;专门适用于摄影用途的滤光器;	一般工业技术;摄影技术;摄影机具与设备;光学镜头、滤光器;滤光器;	电气化、电能应用;家用电器及其他电器设备;其他电器;家用报警器;
物理;摄影术;摄影用的装置或设备;照相机聚焦的辅助装置;照相机的聚焦装置;	一般工业技术;摄影技术;摄影机具与设备;照相设备与复制设备;照相机;	工业技术;电工技术;电器;继电器;电继电器;电磁继电器;
乐器;管风琴;管风琴或具有吹风设备的风乐器;风琴的，即管风琴;	音乐;器乐理论与演奏法;键盘、簧乐理论和演奏法;风琴、管风琴;	植物学;植物分类学（系统植物学）;被子植物亚门;伞形花目;伞形科;
计算;推算;计数;一切计算均用机械方式实现的数字计算机;存储机构;	计算机技术;计算技术、计算机技术;电子数字计算机;外部设备;外存储器;	医药、卫生;外科学;外科诊疗器械与用具;
物理;核物理;核工程;核发电厂;核发电厂的部件;	原子能技术;各种核反应堆、核电厂;核电厂（核电站）;	工业技术;化学工业;化学肥料工业;其他无机肥料;
核物理;核工程;处理放射性污染材料;及其去污染装置;处理固体的;固体废物的处置;	原子能技术;放射性废物管理及综合利用;放射性废物及其处理;固体放射性废物与处理;	食品工业;屠宰及肉类加工工业;肉类食品加工厂、屠宰场;
广告;显示;广告;活动的目视广告;	商品流通与市场;广告;广告策划与制作;	农业科学;水产、渔业;水产养殖技术;各种鱼类养殖;淡水鱼;青鱼;
物理;光学;光学系统或仪器;除透镜外的光学元件;棱镜;	无线电电子学;电视;电视光学;摄像光学系统;分光棱镜;	其他轻工业、手工业;体育器具制造工业;其他体育器具;登山运动器具;
计算;计数;模拟计算机;用于执行计算操作的装置，例如，为执行计算操作专用的放大器;	计算机技术;计算技术、计算机技术;电子模拟计算机;运算放大器和控制器;运算放大器;	工业技术;机械、仪表工业;机械零件及传动装置;转动机件;连杆、曲柄;
计算;计数;电数字数据处理;通用数字计算机;	计算机技术;电子数字计算机;各种电子数字计算机;	工业技术;电工技术;电工材料;超导体、超导体材料;
测量;温度测量;热量测量;以材料的膨胀或收缩为基础的温度测量仪表;	机械、仪表工业;仪器、仪表;热工量的测量仪表;温度测量仪表;	矿业工程;矿山机械;矿山固定机械设备;矿山排水设备;
测量;测量力或流体压力;测量压力的设备或仪表;	仪表工业;仪器、仪表;热工量的测量仪表;压力仪表;	文化、科学、教育、体育;球类运动;高尔夫球;
测量;勘测;专门用于露天水源勘测;	给水工程;取水工程;水源;水源勘测;	武器工业;弹药、引信、火工品;引信;武器用引信;水中兵器引信;
声学;语音识别;语音或声音处理;语音识别;	电声技术和语音信号处理;语音信号处理;语音识别;	铸造;铸造机械设备;熔炼设备;反射炉;
声学;语音或声音处理;处理语音或声音信号;语音增强;	通信;电声技术和语音信号处理;语音信号处理;语音增强;	造纸工业;制浆工艺;各种纸浆;蔗渣浆;
电学;基本电气元件;白炽灯;零部件;发光体;	电工技术;电气化、电能应用;电气照明;灯泡、灯管;白热灯泡、白炽灯;	电工技术;电气测量技术及仪器;电数量的测量及仪表;电能测量、电度表;
电学;电通信技术;图像通信，如电视;电视系统的零部件;同步;	无线电电子学、电信技术;电视;电视同步系统;多节目源电视系统的同步;	矿业工程;矿山设计与建设;凿岩爆破工程;掏槽方法;
电学;基本电子电路;放大器;磁放大器;电流控制的，即负荷电流双方向流过主线圈;	无线电电子学、电信技术;基本电子电路;放大技术、放大器;放大器;放大器：按工作原理分;	机械、仪表工业;机械零件及传动装置;转动机件;联轴器、离合器;
电学;基本电子电路;电子振荡器或脉冲发生器的自动控制、起振、同步或稳定;发生器的起振;	无线电电子学、电信技术;基本电子电路;脉冲技术、脉冲电路;脉冲的产生、脉冲发生器;间歇振荡器;	能源与动力工程;蒸汽动力工程;蒸汽锅炉;锅炉构造;构件;
电学;电通信技术;图像通信，如电视;电视系统;闭路电视系统;	无线电电子学、电信技术;电视;电视信号的传输;闭路电视系统;	工业技术;化学工业;炼焦化学工业;煤的高温干馏;炼焦;炼焦炉;
基本电气元件;用于直接转变化学能为电能的方法或装置;二次电池;碱蓄电池;	工业技术;电工技术;独立电源技术（直接发电）;蓄电池;碱性蓄电池;	金属学与金属工艺;焊接、金属切割;焊接工艺;金属材料的焊接;钢;
电学;电通信技术;数字信息的传输，例如电报通信;数据交换网络;分组交换系统;	无线电电子学、电信技术;通信;数据通信;各种数据传输系统;数据交换系统;	工业技术;机械、仪表工业;泵;容积泵;隔膜泵;
电学;电通信技术;无线通信网络;网络规划;网络配置;	无线电电子学、电信技术;通信;通信网;一般性问题;网络管理;	石油机械设备与自动化;钻井机械设备;钻头、钻具与工具;
电学;基本电气元件;继电器;选择器;电磁继电器的零部件;	工业技术;电工技术;电器;继电器;电继电器;电磁继电器;	航空;航空发动机;发动机附件系统;冷却系统;空气喷气发动机冷却系统;
电动机;用于调节或控制直流电动机的速度或转矩的装置;用于控制直流电动机的旋转方向;	铁路运输;机车工程;电力机车;牵引电动机;直流牵引电动机;	电工技术;电器;电容器;电容器:按结构分;固定式电容器;
基本电气元件;磁体;电感;磁性材料的选择;超导磁体;超导线圈;	工业技术;电工技术;电工材料;超导体、超导体材料;超导磁铁;	建筑科学;建筑材料;防水、防潮材料，嵌缝、密封材料;油毡、防水卷材;油毛毡、油毡纸;
电机;有机械换向器的直流换向器电动机或发电机;通用交直流换向器电动机;以励磁装置为特征的;	工业技术;电工技术;电机;直流电机;励磁直流电机;串励直流电机;	电声技术和语音信号处理;语音信号处理;语音合成;
基本电子电路;脉冲技术;脉冲计数器或分频器的零部件;计数器的启动、停止或复位;	工业技术;机械、仪表工业;仪器、仪表;坐标器、计算机具、计数器;计数器;	轻工业、手工业;烟草工业;烟草加工工艺及制品;卷烟制造;切丝、烘丝;
电学;发电、变电或配电;电机;直流断续电动机;	工业技术;电工技术;电机;电动机（总论）;	能源与动力工程;特殊热能及其机械;太阳能技术;太阳能转换装置和设备;聚光器;
电学;发电、变电或配电;电机;发电机;	电工技术;电机;发电机、大型发电机组（总论）;	金属学与金属工艺;金属压力加工;轧制;轧钢机械设备;轧机主列机构和设备;轧辊及轧辊轴承;
电学;基本电子电路;一般编码、译码或代码转换;增量调制，即单比特差分调制;	无线电电子学、电信技术;基本电子电路;调制技术与调制器;增量调制;	电工技术;电器;电感器、线圈、扼流圈;固定电感线圈;
电学;基本电气元件;电开关;由可绕其纵向轴旋转的开关;	电工技术;电器;开关电器、断路器;各种开关;旋转和滑动开关;	航空发动机制造;装配;装配工夹具;
电学;电通信技术;图像通信，如电视;彩色电视系统的零部件;	无线电电子学、电信技术;电视;电视：按体制分;彩色电视;	地球科学;大气科学（气象学）;应用气象学;
电学;基本电气元件;波导;传输线或其他波导型器件;波导型延迟线;交指型传输线;	无线电设备;馈线设备（传输线和波导）;波导、波导管、波导传输线;各种结构形式的波导;	电工技术;电器;继电器;电继电器;电磁继电器;
电学;基本电气元件;放电管或放电灯;电子管;	无线电电子学;真空电子技术;电子管;二极管;	铁路运输;铁路线路工程;铁路养护与维修;除雪、防雪、防冰冻及设备;
电学;基本电子电路;谐振电路;谐振器;机电谐振器;滤波器;	无线电电子学;基本电子电路;滤波技术、滤波器;谐振体;	无线电电子学、电信技术;电视;电视信号的传输;闭路电视系统;
电学;基本电子电路;阻抗网络;移相器;	无线电电子学;电子元件、组件;移相器、铁氧体移相器;	农业科学;农业基础科学;肥料学;农家肥料;人粪尿;
电学;基本电气元件;磁体;磁性材料的选择;磁体;永久磁体;	电工技术;电工材料;磁性材料、铁氧体;永磁材料、永久磁铁;	电工技术;电气化、电能应用;家用电器及其他电器设备;其他电器;家用报警器;
电学;基本电气元件;磁体;磁性材料的选择;磁体;电磁铁;	电工技术;电器;一般性问题;结构;电磁结构（电磁铁）;	电信技术;通信;通信保密与通信安全;保密通信:按传输线路分;无线保密通信;
电学;基本电气元件;磁体;磁性材料的选择;磁体;电磁铁;含有电磁铁的制动器;	电工技术;电器;控制器、接触器、起动器、电磁铁;电磁铁;制动电磁铁;	物理学;等离子体物理学;辐射与测量;
电学;基本电气元件;电容器;电解型的电容器;卷绕电容器;	电工技术;电器;电容器;电容器:按结构分;卷式电容器;	电工技术;电工材料;绝缘材料、电介质及其制品;绝缘子和套管;
电学;基本电气元件;电容器;电解型的电容器;固定电容器;	电工技术;电器;电容器;电容器:按结构分;固定式电容器;	医药、卫生;预防医学、卫生学;流行病学与防疫;消毒;光线消毒、紫外线消毒;
电学;基本电气元件;继电器;电磁继电器;	电工技术;电器;继电器;电继电器;电磁继电器;	玩具制造工业;各种玩具：按用途分;游艺性玩具;
电学;电通信技术;传声器、声—机电传感器;压电传感器;传声器;	电信技术;电子元件、组件;电声器件;传声器;电容式传声器;	航空、航天;航空;飞机构造与设计;机身、座舱;座舱盖、整流片、整流罩;
电学;基本电气元件;放电管或放电灯;真空管;放电通道的管;复合管;	工业技术;无线电电子学、电信技术;真空电子技术;电子管;复合管;	轻工业、手工业;造纸工业;制浆工艺;制浆法;化学制浆;
电学;电机;专用于制造电机的方法或设备;机壳;机罩;支承物;	电工技术;电机;一般性问题;电机结构及部件;机壳;机罩;机座;	电工技术;电器;继电器;电继电器;电磁继电器;
电学;电机;专用于制造电机的方法或设备;	电工技术;电机;电机制造工艺及设备;一般制造工艺;	工业技术;武器工业;火炮;迫击炮;
电学;基本电气元件;变压器;信号类型的固定变压器;声频变压器;	电工技术;变压器、变流器;变压器：按频率分;音频变压器、成声变压器;	冶金工业;有色金属冶炼;金属提炼;火法提炼;热还原法;铝热法;
电学;基本电气元件;电感;电感器;仪用互感器;用于单相交流的;电压互感器;	电工技术;变压器、变流器及电抗器;互感器;电压互感器;单相电压互感器;	电工技术;电器;开关电器、断路器;熔断器、保险丝装置;
电学;变电或配电;电机;有永久磁体的同步电动机;	工业技术;电工技术;电机;电动机（总论）;	机械、仪表工业;机械零件及传动装置;机械传动机构;啮合传动;凸轮;
电学;发电、变电或配电;电机;有永久磁体的同步发电机;	电工技术;电机;发电机、大型发电机组;永磁发电机;	无线电电子学、电信技术;无线电设备、电信设备;终端设备;
电学;电机;结构上与电机连接用于控制机械能的装置;平衡装置;	电工技术;电机;一般性问题;电机制造工艺及设备;电机的平衡;	工业技术;机械、仪表工业;泵;叶片式泵;离心泵;
电学;基本电气元件;电阻器;不可调电阻器;	电工技术;电器;电阻器、电位器;固定电阻器;	无线电电子学、电信技术;基本电子电路;脉冲变换、脉冲变换电路;脉冲限幅;
电学;电通信技术;传输;传输系统;非光传输系统;	电信技术;通信;数据通信;各种数据传输系统;数字数据传输系统;	金属学与金属工艺;金属表面处理;金属表面防护技术;金属复层保护;电镀法;
电学;电通信技术;传输;利用电磁波（例如红外线、可见光或紫外线）的传输系统;	无线电电子学、电信技术;电视;电视信号的传输;电视信号的红外线传输系统;	文教用品制造工业;绘图工具;绘图板、绘图桌;
电学;电通信技术;传输;利用无线电波以外的电磁波的传输系统;接收机;	无线电电子学;无线电设备;接收设备、无线电收音机;接收机：按形式分;	医药、卫生;药学;药剂学;剂型;片剂;
电学;电通信技术;传输;传输系统;中继器;	电信技术;通信;电报中继及交换;中继器;	往复式发动机;部件、零件;配气机构;气门及驱动机构;
电通信技术;无线通信网络;专门适用于无线通信网络的接口;	铁路通信;无线通信;铁路移动无线通信;列车无线通信及设备;接口;	轻工业、手工业;食品工业;乳品加工工业;各种乳制品;干酪;
基本电气元件;电开关;复合运动的开关;轴线方向进行的;	电子元件、组件;微波过渡元件;换向开关;同轴换向开关;	电工技术;电器;开关电器、断路器;熔断器、保险丝装置;
电学;电通信技术;助听器;助听器;	耳科学、耳疾病;病理听力学及助听器;	物理学;原子核物理学;中子物理;中子截面;吸收截面;
电通信技术;电视;电视系统的扫描部件;不是等速的，非水平线或垂直线形成图形的;	无线电电子学、电信技术;电视;电视扫描系统;非线性扫描系统;	电气化铁路;牵引变电所、变电设备;变电所一次设备;母线;
